Movie Name,IMDb Rating,Year of release
The Shawshank Redemption,9.3,1994
The Godfather,9.2,1972
The Dark Knight,9.0,2008
The Godfather: Part II,9.0,1974
12 Angry Men,9.0,1957
The Lord of the Rings: The Return of the King,8.9,2003
Pulp Fiction,8.9,1994
Schindler's List,8.9,1993
Inception,8.8,2010
Fight Club,8.8,1999
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
Forrest Gump,8.8,1994
"Il buono, il brutto, il cattivo",8.8,1966
The Lord of the Rings: The Two Towers,8.7,2002
The Matrix,8.7,1999
Goodfellas,8.7,1990
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
One Flew Over the Cuckoo's Nest,8.7,1975
Gisaengchung,8.6,2019
Interstellar,8.6,2014
Cidade de Deus,8.6,2002
Sen to Chihiro no kamikakushi,8.6,2001
Saving Private Ryan,8.6,1998
The Green Mile,8.6,1999
La vita è bella,8.6,1997
Se7en,8.6,1995
The Silence of the Lambs,8.6,1991
Star Wars,8.6,1977
Seppuku,8.6,1962
Shichinin no samurai,8.6,1954
It's a Wonderful Life,8.6,1946
Hamilton,8.5,2020
Whiplash,8.5,2014
The Intouchables,8.5,2011
The Prestige,8.5,2006
The Departed,8.5,2006
The Pianist,8.5,2002
Gladiator,8.5,2000
American History X,8.5,1998
The Usual Suspects,8.5,1995
Léon,8.5,1994
The Lion King,8.5,1994
Terminator 2: Judgment Day,8.5,1991
Nuovo Cinema Paradiso,8.5,1988
Hotaru no haka,8.5,1988
Back to the Future,8.5,1985
Once Upon a Time in the West,8.5,1968
Psycho,8.5,1960
Casablanca,8.5,1942
Modern Times,8.5,1936
City Lights,9.3,1994
Capharnaüm,9.2,1972
Joker,9.0,2008
Kimi no na wa.,9.0,1974
Dangal,9.0,1957
Spider-Man: Into the Spider-Verse,8.9,2003
Avengers: Endgame,8.9,1994
Avengers: Infinity War,8.9,1993
Coco,8.8,2010
Django Unchained,8.8,1999
The Dark Knight Rises,8.8,2001
3 Idiots,8.8,1994
Taare Zameen Par,8.8,1966
WALL·E,8.7,2002
The Lives of Others,8.7,1999
Oldeuboi,8.7,1990
Memento,8.7,1980
Mononoke-hime,8.7,1975
Once Upon a Time in America,8.6,2019
Raiders of the Lost Ark,8.6,2014
The Shining,8.6,2002
Apocalypse Now,8.6,2001
Alien,8.6,1998
Tengoku to jigoku,8.6,1999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.6,1997
Witness for the Prosecution,8.6,1995
Paths of Glory,8.6,1991
Rear Window,8.6,1977
Sunset Blvd.,8.6,1962
The Great Dictator,8.6,1954
Jagten,8.6,1946
Inglourious Basterds,8.5,2020
Eternal Sunshine of the Spotless Mind,8.5,2014
Requiem for a Dream,8.5,2011
American Beauty,8.5,2006
Good Will Hunting,8.5,2006
Toy Story,8.5,2002
Braveheart,8.5,2000
Reservoir Dogs,8.5,1998
Idi i smotri,8.5,1995
Aliens,8.5,1994
Amadeus,8.5,1994
Star Wars: Episode VI - Return of the Jedi,8.5,1991
Das Boot,8.5,1988
2001: A Space Odyssey,8.5,1988
Vertigo,8.5,1985
Singin' in the Rain,8.5,1968
Citizen Kane,8.5,1960
M - Eine Stadt sucht einen Mörder,8.5,1942
The Kid,8.5,1936
